item,name,group,party,district,constituency,startdate,enddate,psid
Q17174697,Mario Beaulieu,Q735105,Bloc Québécois,Q3211775,La Pointe-de-l'Île,,,Q17174697-5E337E81-D847-4A56-AB70-2C2EACAF6643
Q17180515,Yvan Baker,Q138345,Liberal Party of Canada,Q3059353,Etobicoke Centre,,,Q17180515-B0F895AF-B775-43FA-839E-3FAB7021F98A
Q17180720,Marie-France Lalonde,Q138345,Liberal Party of Canada,Q3357764,Orléans,,,Q17180720-74EF319A-FADE-4AE4-A720-CFFBC6EC8C00
Q17183113,Han Dong,Q138345,Liberal Party of Canada,Q3035923,Don Valley North,,,Q17183113-AB5232BD-0F27-43D1-A695-2078284C3260
Q17305669,John Barlow,Q488523,Conservative Party of Canada,Q16977569,Foothills,,,Q17305669-243A0382-8427-4D32-94E2-0FE914A1C4E1
Q17386312,James Maloney,Q138345,Liberal Party of Canada,Q3059361,Etobicoke—Lakeshore,,,Q17386312-6DA35E7C-D071-4974-B91A-C7C643738607
Q17513253,David Yurdiga,Q488523,Conservative Party of Canada,Q16977823,Fort McMurray—Cold Lake,,,Q17513253-2A75229E-CD23-4D07-9589-34D122A7F9DE
Q1840895,Erin O'Toole,Q488523,Conservative Party of Canada,Q2390150,Durham,,,Q1840895-6DF05685-2ED7-404B-AC7B-8367A00D6105
Q19428900,Jody Wilson-Raybould,Q327591,independent politician,Q17101508,Vancouver Granville,,,Q19428900-517B4A94-4001-4AC9-91E3-3E17B7F2798B
Q19876367,Michael Barrett,Q488523,Conservative Party of Canada,Q581570,Leeds—Grenville—Thousand Islands and Rideau Lakes,,,Q19876367-F5A3908C-2599-4F16-8335-4FD86BB2F325
Q19955984,Jaime Battiste,Q138345,Liberal Party of Canada,Q3506854,Sydney—Victoria,,,Q19955984-09E4486A-BBDF-4CEF-ADC4-5CBB57250248
Q20676568,Nathaniel Erskine-Smith,Q138345,Liberal Party of Canada,Q2892787,Beaches—East York,,,Q20676568-67FF4A42-1693-45ED-9D58-74C2E4ED2CBE
Q21064615,David Lametti,Q138345,Liberal Party of Canada,Q16979970,LaSalle—Émard—Verdun,,,Q21064615-9E08D880-8F1A-4826-AD51-5B04F7A5BB03
Q21066146,Ken McDonald,Q138345,Liberal Party of Canada,Q2873260,Avalon,,,Q21066146-B8CD700E-F5E8-482E-A432-BECCB4DB7001
Q21155044,Francis Drouin,Q138345,Liberal Party of Canada,Q3108745,Glengarry—Prescott—Russell,,,Q21155044-BBC367D6-D247-407F-BBB9-19F4C5956D14
Q21156165,Majid Jowhari,Q138345,Liberal Party of Canada,Q3431478,Richmond Hill,,,Q21156165-F1870275-8894-492A-990C-B279807EE38F
Q21156200,Ali Ehsassi,Q138345,Liberal Party of Canada,Q3569133,Willowdale,,,Q21156200-E7E144FF-FC65-4D61-9AFB-3DE5FA5D5165
Q21158711,Pierre Paul-Hus,Q488523,Conservative Party of Canada,Q429015,Charlesbourg—Haute-Saint-Charles,,,Q21158711-F004FDE8-1CAC-4FD1-BCE9-B3433F4132D2
Q21159815,François-Philippe Champagne,Q138345,Liberal Party of Canada,Q3462967,Saint-Maurice—Champlain,,,Q21159815-A0A1105B-F005-4CE4-9381-1341FAE25A07
Q21159821,Joël Lightbound,Q138345,Liberal Party of Canada,Q3260598,Louis-Hébert,,,Q21159821-239078B9-C8C6-4B08-8C40-0135BDAC5324
Q21159929,Rhéal Fortin,Q735105,Bloc Québécois,Q428070,Rivière-du-Nord,,,Q21159929-9DD72F2E-748F-4827-80B8-ACF7F05F3372
Q21160212,Gary Anandasangaree,Q138345,Liberal Party of Canada,Q16979633,Scarborough—Rouge Park,,,Q21160212-A0940FEA-A919-41A0-B793-B83F88FE2C24
Q21162694,Maryam Monsef,Q138345,Liberal Party of Canada,Q3376996,Peterborough—Kawartha,,,Q21162694-BF9BA8F9-E0E4-4689-9BA1-A2E8B8DC1E3F
Q21167969,Marilène Gill,Q735105,Bloc Québécois,Q3285881,Manicouagan,,,Q21167969-C2FE74A1-9A3D-4FD0-8F9B-134AB62C2C3A
Q21174009,Andy Fillmore,Q138345,Liberal Party of Canada,Q2604650,Halifax,,,Q21174009-EE9D2FBD-B460-4CA3-A089-7044F93AE890
Q21175197,Bill Morneau,Q138345,Liberal Party of Canada,Q921653,Toronto Centre,,2020-08-17,Q21175197-B8A58CB5-E944-4EAF-A887-DF26C519285D
Q21175255,Sven Spengemann,Q138345,Liberal Party of Canada,Q3316911,Mississauga—Lakeshore,,,Q21175255-2A91B3DB-647D-4F18-B3F8-9008761C8331
Q21177259,Gabriel Ste-Marie,Q735105,Bloc Québécois,Q3183138,Joliette,,,Q21177259-16F4766C-2290-4160-BEF2-6DC36D296F79
Q21228464,Richard Cannings,Q130765,New Democratic Party,Q16999989,South Okanagan—West Kootenay,,,Q21228464-481F788D-ADFF-4F18-AE9D-FF6B00976496
Q21266477,Steven MacKinnon,Q138345,Liberal Party of Canada,Q693762,Gatineau,,,Q21266477-34DE9E5C-3628-497A-92B0-A7BAF71FC9DE
Q21281905,Greg Fergus,Q138345,Liberal Party of Canada,Q3143028,Hull—Aylmer,,,Q21281905-73F466E1-C7B9-4A03-9EFF-D83E7DFD4D4E
Q21284594,Xavier Barsalou-Duval,Q735105,Bloc Québécois,Q16845155,Pierre-Boucher—Les Patriotes—Verchères,,,Q21284594-3462F13A-8BC2-43F7-946E-8093BFB9B220
Q21286025,Monique Pauzé,Q735105,Bloc Québécois,Q3427232,Repentigny,,,Q21286025-CCECC35F-7FC4-4BFA-A25B-AD1C0405E21E
Q21296174,Alain Rayes,Q488523,Conservative Party of Canada,Q3431483,Richmond—Arthabaska,,,Q21296174-058A9B39-1C48-4F47-A4D9-C6403158DB5E
Q21335996,Catherine McKenna,Q138345,Liberal Party of Canada,Q3357743,Ottawa Centre,2015-12-03,,Q21335996-05CFEB18-0648-46C3-9A0F-45836D52AA43
Q21336098,Diane Lebouthillier,Q138345,Liberal Party of Canada,Q3098861,Gaspésie—Les Îles-de-la-Madeleine,,,Q21336098-00974E97-5943-4E44-965C-A300B03C1268
Q21336208,Marco Mendicino,Q138345,Liberal Party of Canada,Q3049206,Eglinton—Lawrence,2019-10-21,,Q21336208-86bbd002-4f57-9735-21f4-fb5a0c09b49d
Q21336246,Harjit Sajjan,Q138345,Liberal Party of Canada,Q3554462,Vancouver South,,,Q21336246-E52B4875-15DD-4E52-BAB3-48A90709CFDE
Q21356553,Marie-Claude Bibeau,Q138345,Liberal Party of Canada,Q2990889,Compton—Stanstead,,,Q21356553-87F0B480-3807-4258-8794-EC183EA8E047
Q21384927,Carla Qualtrough,Q138345,Liberal Party of Canada,Q3021905,Delta,,,Q21384927-4E9F15D7-60C2-4F51-A979-855A114F9517
Q21400450,Simon Marcil,Q735105,Bloc Québécois,Q16999883,Mirabel,,,Q21400450-CDACBE36-995E-4AEC-9B9F-5E26C0FF4D19
Q21402871,Bardish Chagger,Q138345,Liberal Party of Canada,Q3566686,Waterloo,,,Q21402871-D8EE37C7-EBF0-426B-B49A-2F97C1F381A2
Q21428260,Michel Boudrias,Q735105,Bloc Québécois,Q25246025,Terrebonne,,,Q21428260-BDB8F934-2077-43DD-9134-B44E5DB184EC
Q21470126,Bob Saroya,Q488523,Conservative Party of Canada,Q3294346,Markham—Unionville,,,Q21470126-DF6019D5-C552-4D4D-8213-431A3AD7F626
Q21471154,Marwan Tabbara,Q138345,Liberal Party of Canada,Q16979185,Kitchener South—Hespeler,,2020-06-06,Q21471154-5257A5BA-9CF0-4E0A-AF9A-A105852A7110
Q21471154,Marwan Tabbara,Q327591,independent politician,Q16979185,Kitchener South—Hespeler,2020-06-06,,Q21471154-DADE2364-1ECF-4D6D-8642-059F98C570DA
Q21572835,Chris Bittle,Q138345,Liberal Party of Canada,Q267841,St. Catharines,,,Q21572835-180387A6-B067-413C-8CE7-63E2381C6B04
Q21572837,Rachel Blaney,Q130765,New Democratic Party,Q3344130,North Island—Powell River,,,Q21572837-EAE9E8E1-C831-4822-901B-9D879336AC0B
Q21572911,Serge Cormier,Q138345,Liberal Party of Canada,Q2822240,Acadie—Bathurst,,,Q21572911-1D687E31-AB0C-47CA-88B9-725F13539717
Q21572925,Julie Dabrusin,Q138345,Liberal Party of Canada,Q3532395,Toronto—Danforth,,,Q21572925-A5AB30E2-246A-4A20-A5BC-CC1EF337BE96
Q21572945,Anju Dhillon,Q138345,Liberal Party of Canada,Q16962445,Dorval—Lachine—LaSalle,,,Q21572945-9D7C90A8-61FA-4AAE-94BE-BDBD19F54EAD
Q21573510,Patty Hajdu,Q138345,Liberal Party of Canada,Q3526041,Thunder Bay—Superior North,,,Q21573510-C7100E5A-1AE8-4FC0-8E00-8E7756ADD184
Q21642319,Daniel Blaikie,Q130765,New Democratic Party,Q3051614,Elmwood—Transcona,,,Q21642319-A3F420B0-3664-4E66-8F76-F783E4E8A0BB
Q21642395,Michael Cooper,Q488523,Conservative Party of Canada,Q16977238,St. Albert—Edmonton,,,Q21642395-AC04CDB7-2BC9-4015-AFBF-644337A49C06
Q21642488,Peter Fragiskatos,Q138345,Liberal Party of Canada,Q3258929,London North Centre,,,Q21642488-44CC1F48-CC60-4152-A729-64CFE313815F
Q21642492,Sean Fraser,Q138345,Liberal Party of Canada,Q3345304,Central Nova,,,Q21642492-2194B15E-222C-431B-8394-6F597BC983CB
Q21642507,Garnett Genuis,Q488523,Conservative Party of Canada,Q16986155,Sherwood Park—Fort Saskatchewan,,,Q21642507-6D342F67-755C-4556-9432-4C576C1E0FBA
Q21642653,Iqra Khalid,Q138345,Liberal Party of Canada,Q16976696,Mississauga—Erin Mills,,,Q21642653-ECA9146D-19AA-469A-8597-E7DE191D553C
Q21642848,John Nater,Q488523,Conservative Party of Canada,Q3376177,Perth—Wellington,,,Q21642848-D46FAEEE-E71A-4473-B9D0-FF5871AAD990
Q21713409,René Arseneault,Q138345,Liberal Party of Canada,Q3275454,Madawaska—Restigouche,,,Q21713409-69C1C0E8-6E9A-4342-8F3E-C17A5B1CF2E1
Q21714076,Pat Finnigan,Q138345,Liberal Party of Canada,Q17000012,Miramichi—Grand Lake,,,Q21714076-E590FD89-10D3-489F-A58E-CF1AA5E3D7CA
Q21714336,Ginette Petitpas Taylor,Q138345,Liberal Party of Canada,Q3320478,Moncton—Riverview—Dieppe,2015-10-19,,Q21714336-c23956e4-47d0-d632-88d4-ee28d356f2d1
Q21714343,Wayne Long,Q138345,Liberal Party of Canada,Q16979314,Saint John—Rothesay,,,Q21714343-B04DBA14-8ACC-4D93-948F-83444EAC783B
Q21716242,Terry Beech,Q138345,Liberal Party of Canada,Q16954585,Burnaby North—Seymour,,,Q21716242-0510F283-DB5E-4DCA-97C1-BD44A268F732
Q21716260,Karina Gould,Q138345,Liberal Party of Canada,Q774538,Burlington,,,Q21716260-4F020B84-7FF2-461B-BE5C-6835CBF93B6C
Q21716310,Jonathan Wilkinson,Q138345,Liberal Party of Canada,Q3344177,North Vancouver,,,Q21716310-D7B6F8A3-5C23-4507-9930-DA2CF1E2D6A3
Q21872800,Arnold Viersen,Q488523,Conservative Party of Canada,Q17092367,Peace River—Westlock,,,Q21872800-5AC47089-3A70-4198-92A9-279C8E11A774
Q21891834,Luc Berthold,Q488523,Conservative Party of Canada,Q3332796,Mégantic—L'Érable,,,Q21891834-D44EF802-DCA1-46B8-9018-0A7A370B98FD
Q22002979,Ziad Aboultaif,Q488523,Conservative Party of Canada,Q16966789,Edmonton Manning,,,Q22002979-1A05EA16-8ADC-4ED7-89A3-5E26E89FAF9F
Q22003106,Leona Alleslev,Q488523,Conservative Party of Canada,Q16949447,Aurora—Oak Ridges—Richmond Hill,,,Q22003106-9BED93EB-2243-42D1-95F1-40CC8D0402C1
Q22003182,Mel Arnold,Q488523,Conservative Party of Canada,Q512649,North Okanagan—Shuswap,,,Q22003182-B6752E3C-BCCC-4429-B17F-18B0FE5D564E
Q22003456,John Brassard,Q488523,Conservative Party of Canada,Q16950434,Barrie—Innisfil,,,Q22003456-5BFBDA83-4C76-44F7-999B-0C5ACED7DB9B
Q22004200,Neil Ellis,Q138345,Liberal Party of Canada,Q16950737,Bay of Quinte,,,Q22004200-9CAF8DBB-BD7B-44D2-8042-856361C0AFCE
Q22004363,Darren Fisher,Q138345,Liberal Party of Canada,Q3016601,Dartmouth—Cole Harbour,,,Q22004363-F5A5ECF2-B0BE-47EA-9135-60CA3F0F4B60
Q22004772,Ken Hardie,Q138345,Liberal Party of Canada,Q3073517,Fleetwood—Port Kells,,,Q22004772-1FB18EEF-0960-4BEC-8D15-9041730007B4
Q22005483,Gudie Hutchings,Q138345,Liberal Party of Canada,Q16990299,Long Range Mountains,2015-10-19,,Q22005483-15CFF83A-0E00-4D71-BD3D-98201B445833
Q22006190,Patricia Lattanzio,Q138345,Liberal Party of Canada,Q3462835,Saint-Léonard—Saint-Michel,2019-10-21,,Q22006190-c1d3298e-4b14-2dd6-7bd2-6d67df1d2a77
Q22006757,Kelly McCauley,Q488523,Conservative Party of Canada,Q3048051,Edmonton West,,,Q22006757-E96DB40A-A00A-4213-8AAF-F5A7A52775CA
Q22080796,Brenda Shanahan,Q138345,Liberal Party of Canada,Q16961180,Châteauguay—Lacolle,,,Q22080796-59D30BCB-5069-4999-8F09-52601E8F8891
Q22080839,Stéphane Lauzon,Q138345,Liberal Party of Canada,Q16833613,Argenteuil—La Petite-Nation,,,Q22080839-504ECD54-C0CD-4AB3-AFA2-CE5101433A68
Q22080847,Angelo Iacono,Q138345,Liberal Party of Canada,Q2834924,Alfred-Pellan,,,Q22080847-3E63D00F-DC3B-48AB-8C86-CD6B8BFC0D0F
Q22086204,Julie Dzerowicz,Q138345,Liberal Party of Canada,Q3017300,Davenport,,,Q22086204-FF8A1688-C09F-4879-B7A1-3F03532977C0
Q22096449,Terry Sheehan,Q138345,Liberal Party of Canada,Q3474220,Sault Ste. Marie,,,Q22096449-498AFC54-5430-44D9-BC11-6183B5B274C2
Q22096924,Ruby Sahota,Q138345,Liberal Party of Canada,Q16953394,Brampton North,,,Q22096924-B290C1BA-EE98-41B4-AF97-4E4A3BD4E0A0
Q22096931,Raj Saini,Q138345,Liberal Party of Canada,Q3197575,Kitchener Centre,,,Q22096931-092EDD2E-2A7C-4DA3-A081-3897F07B6C70
Q22097102,Francesco Sorbara,Q138345,Liberal Party of Canada,Q16976825,Vaughan—Woodbridge,,,Q22097102-D03AC1AC-DAFA-4311-87EC-C012B4171BA0
Q22114010,Shannon Stubbs,Q488523,Conservative Party of Canada,Q3216473,Lakeland,,,Q22114010-C07A8D99-E2D2-4117-89C3-3EA63012AEF0
Q22116843,Cathay Wagantall,Q488523,Conservative Party of Canada,Q3572613,Yorkton—Melville,,,Q22116843-2A8D086E-54EB-4891-94F4-152985711C16
Q22121196,Peter Schiefke,Q138345,Liberal Party of Canada,Q3555066,Vaudreuil—Soulanges,,,Q22121196-6A877C6F-0035-4FC5-9DAE-ABEBF19AC549
Q22276800,Will Amos,Q138345,Liberal Party of Canada,Q3397734,Pontiac,,,Q22276800-6A56C71F-5FF7-4784-A019-B9C7158241FC
Q22276872,Chandra Arya,Q138345,Liberal Party of Canada,Q3338266,Nepean,,,Q22276872-6357E701-0445-4898-8396-C5D37FFA9CAF
Q22276923,Vance Badawey,Q138345,Liberal Party of Canada,Q3339428,Niagara Centre,,,Q22276923-347157ED-32C8-4452-8861-D92DC8340DDD
Q22277334,Shaun Chen,Q138345,Liberal Party of Canada,Q16976145,Scarborough North,,,Q22277334-495252DE-758B-4ECC-88BC-5C0FA02ED5CC
Q22277495,Pam Damoff,Q138345,Liberal Party of Canada,Q17092100,Oakville North—Burlington,,,Q22277495-546544A5-55C4-4FF7-B861-9926E877420C
Q22277600,Todd Doherty,Q488523,Conservative Party of Canada,Q2938767,Cariboo—Prince George,,,Q22277600-3B93979E-E88D-40CD-B05A-99B315AB0011
Q22277646,Scott Duvall,Q130765,New Democratic Party,Q3126460,Hamilton Mountain,,,Q22277646-15C385CC-60F5-4241-B85E-ACA117B683DD
Q22277949,Marilyn Gladu,Q488523,Conservative Party of Canada,Q3473661,Sarnia—Lambton,,,Q22277949-BEE18683-99A9-4008-983B-F7CA72BDF0EE
Q22277957,Joël Godin,Q488523,Conservative Party of Canada,Q3399336,Portneuf—Jacques-Cartier,,,Q22277957-7BB42B54-2FD2-4CB5-AB51-941F8E1EF650
Q22278125,Rachael Thomas,Q488523,Conservative Party of Canada,Q3236894,Lethbridge,,,Q22278125-EFB4EC5A-60FD-4932-977D-09A37ED0EF7F
Q22278424,Gord Johns,Q130765,New Democratic Party,Q16952299,Courtenay—Alberni,,,Q22278424-CA1626F4-7EFC-4B49-A76F-FD00E7F71656
Q22278440,Bernadette Jordan,Q138345,Liberal Party of Canada,Q3492274,South Shore—St. Margarets,,,Q22278440-DA1BDFF2-3068-4630-A1F0-5935A0F6CC72
Q22278561,Pat Kelly,Q488523,Conservative Party of Canada,Q16850493,Calgary Rocky Ridge,,,Q22278561-AF5F6205-3563-41D9-8DDC-B1DBCDF3406B
Q22278589,Kamal Khera,Q138345,Liberal Party of Canada,Q2923649,Brampton West,,,Q22278589-F5FD6ECD-1D65-4221-B1ED-EA0BE95EC372
Q22278594,Fayçal El-Khoury,Q138345,Liberal Party of Canada,Q3219763,Laval—Les Îles,,,Q22278594-6821598C-E1BD-4507-9938-E60E79BE9C35
Q22278635,Robert Kitchen,Q488523,Conservative Party of Canada,Q3491962,Souris—Moose Mountain,,,Q22278635-F8E47D46-C1BF-4F91-813F-D31E1EE9ECA8
Q22278649,Tom Kmiec,Q488523,Conservative Party of Canada,Q16850498,Calgary Shepard,,,Q22278649-5E01167C-01FD-4376-BEE3-FDF44112E88C
Q22278827,Paul Lefebvre,Q138345,Liberal Party of Canada,Q3502922,Sudbury,,,Q22278827-79D42C40-2EB9-43EE-8DF2-5142DD212C33
Q22278851,Michael Levitt,Q138345,Liberal Party of Canada,Q3572587,York Centre,,2020-09-01,Q22278851-4E84EEED-4300-4427-9B31-E604AD7B0ADF
Q22278896,Lloyd Longfield,Q138345,Liberal Party of Canada,Q3118872,Guelph,,,Q22278896-ABE453BE-C6BF-45E3-B545-767D15BB9611
Q22278956,Alistair MacGregor,Q130765,New Democratic Party,Q16952399,Cowichan—Malahat—Langford,,,Q22278956-1B8681CF-B7BF-4F30-A7B4-881AFED853B3
Q22279113,Bryan May,Q138345,Liberal Party of Canada,Q2934691,Cambridge,,,Q22279113-13884B55-FC3C-427E-8434-832E9906036E
Q22279147,Ron McKinnon,Q138345,Liberal Party of Canada,Q16951566,Coquitlam—Port Coquitlam,,,Q22279147-ADD8515B-8362-40BA-A63E-8E369FD20C91
Q22279214,Marc Miller,Q138345,Liberal Party of Canada,Q16977201,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,,,Q22279214-ABF8041B-F215-4782-8915-072C762E863B
Q22279457,Jennifer O'Connell,Q138345,Liberal Party of Canada,Q16977690,Pickering—Uxbridge,,,Q22279457-80078D4C-94C8-4163-8442-580F24DE5B2F
Q22280066,Yves Robillard,Q138345,Liberal Party of Canada,Q3287683,Marc-Aurèle-Fortin,,,Q22280066-3763CCA7-95CE-4A40-A0B9-CA1BA65EBC03
Q22280112,Sherry Romanado,Q138345,Liberal Party of Canada,Q16979600,Longueuil—Charles-LeMoyne,,,Q22280112-42A1EFD4-F1D6-45C2-8968-9BC492F412A9
Q22280268,Darrell Samson,Q138345,Liberal Party of Canada,Q3460955,Sackville—Preston—Chezzetcook,,,Q22280268-0B89CECA-A1D0-4948-8774-FD0068220DDB
Q22280290,Ramesh Sangha,Q138345,Liberal Party of Canada,Q2923648,Brampton Centre,,2021-01-25,Q22280290-9B76DC0F-F662-45AF-8652-FF8B97B638A1
Q22280290,Ramesh Sangha,Q327591,independent politician,Q2923648,Brampton Centre,2021-01-25,,Q22280290-8A0430BE-176E-40C7-B9DD-8D8AC44CCA14
Q22280309,Randeep Sarai,Q138345,Liberal Party of Canada,Q16977199,Surrey Centre,,,Q22280309-2EA4B45E-93F2-4B97-8094-22E4DC071E23
Q22280358,Jamie Schmale,Q488523,Conservative Party of Canada,Q3125962,Haliburton—Kawartha Lakes—Brock,,,Q22280358-C7A8FFEC-2069-4D3D-9BEF-E7A7C7388807
Q22280366,Deb Schulte,Q138345,Liberal Party of Canada,Q16977204,King—Vaughan,,,Q22280366-234D812C-40C9-4155-9057-3A55AD6ED4AF
Q22282329,Anita Vandenbeld,Q138345,Liberal Party of Canada,Q3357746,Ottawa West—Nepean,,,Q22282329-D65BD230-4770-494D-94B8-52209D4ACBE2
Q22282385,Salma Zahid,Q138345,Liberal Party of Canada,Q3475163,Scarborough Centre,,,Q22282385-2711CF6E-19F7-489B-A8E5-3EA3109184B2
Q22442799,Marc Serré,Q138345,Liberal Party of Canada,Q3339824,Nickel Belt,,,Q22442799-0DD4E01B-4BE6-42FF-B6BE-350D301F3EA1
Q22704261,Karen Vecchio,Q488523,Conservative Party of Canada,Q3050861,Elgin—Middlesex—London,,,Q22704261-2BBEA7AE-BD94-4777-B080-0FBC8DDA63CF
Q22704264,Arif Virani,Q138345,Liberal Party of Canada,Q3365449,Parkdale—High Park,,,Q22704264-25CC0CF0-9950-4C6B-9349-C458FDD0DC5C
Q22704271,Gagan Sikand,Q138345,Liberal Party of Canada,Q3316916,Mississauga—Streetsville,,,Q22704271-F7C1FB53-9D8E-4676-9D79-9AA2AA364AE9
Q22770985,Filomena Tassi,Q138345,Liberal Party of Canada,Q16979665,Hamilton West—Ancaster—Dundas,,,Q22770985-361931F2-1CF5-4AE1-A235-DBDE9B1DEB78
Q22770987,Martin Shields,Q488523,Conservative Party of Canada,Q2922698,Bow River,,,Q22770987-1E25F332-603C-425C-82C5-16B190648751
Q22770988,Sonia Sidhu,Q138345,Liberal Party of Canada,Q16966835,Brampton South,,,Q22770988-AD3BC52E-4DA7-40B0-9A2E-9EABDBC1A68F
Q22770989,Kevin Waugh,Q488523,Conservative Party of Canada,Q16990152,Saskatoon—Grasswood,,,Q22770989-6C38F5F6-02D6-4618-8E6C-CCE2CFB09CCF
Q22811363,Kate Young,Q138345,Liberal Party of Canada,Q3258933,London West,,,Q22811363-5D6705D0-7654-4C55-9FBC-E4C87633A9E1
Q2347478,Steven Blaney,Q488523,Conservative Party of Canada,Q3272022,Bellechasse—Les Etchemins—Lévis,,,Q2347478-6859DA1C-F9C7-4E16-BBB9-18BEB840CB8A
Q2403422,Carolyn Bennett,Q138345,Liberal Party of Canada,Q3495297,Toronto—St. Paul's,,,Q2403422-8387DF87-2734-4801-9C13-1EED4111C347
Q27663754,Glen Motz,Q488523,Conservative Party of Canada,Q767079,Medicine Hat—Cardston—Warner,,,Q27663754-78F165A0-27E2-4A15-A2BD-92A3F8BFDEF6
Q2830317,Alain Therrien,Q735105,Bloc Québécois,Q3217787,La Prairie,2019-10-21,,Q2830317-e37774d7-4c04-8d25-c069-82bb37d914c0
Q2833301,Alexandra Mendès,Q138345,Liberal Party of Canada,Q16847474,Brossard—Saint-Lambert,,,Q2833301-6B021066-8327-43C3-9EF7-7A6187BC2C9D
Q2833494,Alexandre Boulerice,Q130765,New Democratic Party,Q7368487,Rosemont–La Petite-Patrie,,,Q2833494-0B550DF3-6754-4551-97A2-771457F13AD1
Q2846724,Andrew Scheer,Q488523,Conservative Party of Canada,Q3423524,Regina—Qu'Appelle,,,Q2846724-2C24A110-C962-4CD1-A05C-86457FE72A8F
Q2852943,Anthony Rota,Q138345,Liberal Party of Canada,Q3342105,Nipissing—Timiskaming,2019-10-21,,Q2852943-eb6086c6-4504-9c0d-e46d-ddadc8ead873
Q2895501,Ben Lobb,Q488523,Conservative Party of Canada,Q290779,Huron—Bruce,,,Q2895501-D6FAABB3-2013-4F3B-89D3-82634809EA22
Q2898026,Bernard Généreux,Q488523,Conservative Party of Canada,Q3322832,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,,,Q2898026-C9AAAFA1-BE2C-4C57-8242-072E3E1BFBA3
Q2905717,Blaine Calkins,Q488523,Conservative Party of Canada,Q16986104,Red Deer—Lacombe,,,Q2905717-7D526B45-DA29-4260-B67E-786B897E1129
Q2905842,Blake Richards,Q488523,Conservative Party of Canada,Q16837639,Banff—Airdrie,,,Q2905842-EF74604A-3C66-412E-9D26-20D2F503FD0A
Q29138522,Mona Fortier,Q138345,Liberal Party of Canada,Q3357766,Ottawa—Vanier,,,Q29138522-4EF7B452-3DB1-4F6C-AFF1-201A1ACEF764
Q29139192,Bob Benzen,Q488523,Conservative Party of Canada,Q16850469,Calgary Heritage,,,Q29139192-04D3E788-0478-4F1B-9149-BCBFF970D84E
Q29139548,Mary Ng,Q138345,Liberal Party of Canada,Q16977883,Markham—Thornhill,,,Q29139548-87028522-C896-4DEE-B279-C1AD5190C156
Q29139551,Stephanie Kusie,Q488523,Conservative Party of Canada,Q16850474,Calgary Midnapore,,,Q29139551-F8FA5762-F4BB-4830-B6A4-139F1F71B640
Q29139554,Emmanuella Lambropoulos,Q138345,Liberal Party of Canada,Q3462729,Saint-Laurent,,,Q29139554-63EB0341-52DA-4177-930E-C9F7F8C6188E
Q2926478,Bruce Stanton,Q488523,Conservative Party of Canada,Q3484116,Simcoe North,,,Q2926478-7253F823-1503-4D41-AC67-C81031FE3E1E
Q2936261,Candice Bergen,Q488523,Conservative Party of Canada,Q3398756,Portage—Lisgar,,,Q2936261-5382C8AF-6B08-403D-BAD2-2103D43A2DB1
Q2942205,Cathy McLeod,Q488523,Conservative Party of Canada,Q3192457,Kamloops—Thompson—Cariboo,,,Q2942205-B0B82C44-86E8-4B87-9C41-846AB50A42AC
Q2960818,Charlie Angus,Q130765,New Democratic Party,Q3529015,Timmins—James Bay,,,Q2960818-B08FDD01-1595-4F9C-B473-1ED86F91B2D5
