item,name,group,party,district,constituency,gender,dob,dobPrecision,psid
Q72012050,Annie Koutrakis,Q138345,Liberal Party of Canada,Q16978570,Vimy,female,,,Q72012050-dc2d01b8-45cd-e8d6-b12f-396b02480ac3
Q72012105,Élisabeth Brière,Q138345,Liberal Party of Canada,Q3481910,Sherbrooke,female,1968-01-01T00:00:00Z,9,Q72012105-9bd57a86-4027-cafe-1582-be4574a4192e
Q72012161,Andréanne Larouche,Q735105,Bloc Québécois,Q3481722,Shefford,female,1982-01-01T00:00:00Z,9,Q72012161-b4235b90-4d24-0db5-b1e7-191734571d7f
Q72091608,Caroline Desbiens,Q735105,Bloc Québécois,Q528161,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,female,1963-01-01T00:00:00Z,9,Q72091608-71075d39-4d11-5c74-2f9d-731b08770f2c
Q72093411,Sylvie Bérubé,Q735105,Bloc Québécois,Q2821651,Abitibi—Baie-James—Nunavik—Eeyou,female,1950-01-01T00:00:00Z,7,Q72093411-b040fed6-4203-c305-084e-d1461489ff62
Q72177965,Sébastien Lemire,Q735105,Bloc Québécois,Q2821652,Abitibi—Témiscamingue,male,1950-01-01T00:00:00Z,7,Q72177965-29f5f46f-47fc-f7ef-33cf-c9325b6c5b51
Q72194331,Alexis Brunelle-Duceppe,Q735105,Bloc Québécois,Q3214650,Lac-Saint-Jean,male,1979-07-01T00:00:00Z,11,Q72194331-dc6170c4-4931-6dde-70bf-401eb04bd35e
Q72219274,Christine Normandin,Q735105,Bloc Québécois,Q3462577,Saint-Jean,female,,,Q72219274-4943ff9f-46ac-56eb-200d-057d2bc1efe5
Q72219386,Luc Desilets,Q735105,Bloc Québécois,Q3433602,Rivière-des-Mille-Îles,male,1958-02-09T00:00:00Z,11,Q72219386-64b10119-4c3a-0910-bb5f-b700b7574876
Q72219402,Mario Simard,Q735105,Bloc Québécois,Q3183620,Jonquière,male,,,Q72219402-7cd23b8f-48a2-3db2-4930-2f8f7ed4232b
Q72219413,Martin Champoux,Q735105,Bloc Québécois,Q3040119,Drummond,male,1968-01-01T00:00:00Z,9,Q72219413-5bdafc68-4a2a-c9b2-c050-e120a724c708
Q72219417,Maxime Blanchette-Joncas,Q735105,Bloc Québécois,Q3432128,Rimouski-Neigette—Témiscouata—Les Basques,male,1989-08-15T00:00:00Z,11,Q72219417-88bdc5ea-4b51-6f34-b0d0-13baeb129fe3
Q72219699,Louise Charbonneau,Q735105,Bloc Québécois,Q3539914,Trois-Rivières,female,,,Q72219699-a2ff3a6a-4ec7-876a-bceb-a791a8152753
Q72219707,Marie-Hélène Gaudreau,Q735105,Bloc Québécois,Q3219613,Laurentides—Labelle,female,1977-01-01T00:00:00Z,9,Q72219707-63ac66f9-4cc9-25f7-7520-6c6f3fef4b24
Q72219741,Yves Perron,Q735105,Bloc Québécois,Q2899323,Berthier—Maskinongé,male,,,Q72219741-d3cc1cad-4e00-1324-ed7b-0e60b51fdf6d
